Time (s),Volt (V)
4.72E-06,9.80E-02
4.72E-06,9.65E-02
4.72E-06,9.80E-02
4.73E-06,9.55E-02
4.73E-06,9.65E-02
4.73E-06,9.70E-02
4.73E-06,9.95E-02
4.73E-06,1.00E-01
4.73E-06,1.01E-01
4.73E-06,9.85E-02
4.73E-06,9.65E-02
4.73E-06,9.60E-02
4.73E-06,9.65E-02
4.74E-06,9.85E-02
4.74E-06,9.85E-02
4.74E-06,9.80E-02
4.74E-06,9.80E-02
4.74E-06,1.01E-01
4.74E-06,9.65E-02
4.74E-06,9.50E-02
4.74E-06,9.50E-02
4.74E-06,9.50E-02
4.74E-06,9.80E-02
4.75E-06,9.80E-02
4.75E-06,1.00E-01
4.75E-06,9.85E-02
4.75E-06,9.65E-02
4.75E-06,9.65E-02
4.75E-06,9.65E-02
4.75E-06,9.70E-02
4.75E-06,9.65E-02
4.75E-06,1.00E-01
4.75E-06,9.85E-02
4.76E-06,9.85E-02
4.76E-06,9.80E-02
4.76E-06,9.80E-02
4.76E-06,1.00E-01
4.76E-06,9.75E-02
4.76E-06,9.85E-02
4.76E-06,1.00E-01
4.76E-06,9.85E-02
4.76E-06,9.70E-02
4.76E-06,9.80E-02
4.77E-06,9.65E-02
4.77E-06,9.65E-02
4.77E-06,9.55E-02
4.77E-06,9.80E-02
4.77E-06,9.65E-02
4.77E-06,9.75E-02
4.77E-06,9.85E-02
4.77E-06,9.85E-02
4.77E-06,9.65E-02
4.77E-06,9.85E-02
4.78E-06,9.55E-02
4.78E-06,9.45E-02
4.78E-06,9.55E-02
4.78E-06,9.80E-02
4.78E-06,9.85E-02
4.78E-06,9.65E-02
4.78E-06,9.45E-02
4.78E-06,9.50E-02
4.78E-06,9.70E-02
4.78E-06,9.70E-02
4.79E-06,9.50E-02
4.79E-06,9.75E-02
4.79E-06,9.70E-02
4.79E-06,9.55E-02
4.79E-06,9.60E-02
4.79E-06,9.85E-02
4.79E-06,9.50E-02
4.79E-06,9.60E-02
4.79E-06,9.70E-02
4.79E-06,9.50E-02
4.80E-06,9.45E-02
4.80E-06,9.55E-02
4.80E-06,9.50E-02
4.80E-06,9.30E-02
4.80E-06,9.25E-02
4.80E-06,9.80E-02
4.80E-06,1.01E-01
4.80E-06,9.85E-02
4.80E-06,9.50E-02
4.80E-06,9.60E-02
4.81E-06,9.65E-02
4.81E-06,9.70E-02
4.81E-06,9.55E-02
4.81E-06,9.45E-02
4.81E-06,9.45E-02
4.81E-06,9.55E-02
4.81E-06,9.70E-02
4.81E-06,9.80E-02
4.81E-06,9.85E-02
4.81E-06,9.90E-02
4.82E-06,9.70E-02
4.82E-06,9.80E-02
4.82E-06,9.85E-02
4.82E-06,9.65E-02
4.82E-06,9.65E-02
4.82E-06,9.80E-02
4.82E-06,9.65E-02
4.82E-06,9.80E-02
4.82E-06,9.70E-02
4.82E-06,9.50E-02
4.83E-06,9.45E-02
4.83E-06,9.75E-02
4.83E-06,1.01E-01
4.83E-06,9.85E-02
4.83E-06,9.65E-02
4.83E-06,9.85E-02
4.83E-06,9.70E-02
4.83E-06,9.45E-02
4.83E-06,9.60E-02
4.83E-06,9.75E-02
4.84E-06,9.65E-02
4.84E-06,9.85E-02
4.84E-06,9.70E-02
4.84E-06,9.50E-02
4.84E-06,9.50E-02
4.84E-06,9.50E-02
4.84E-06,9.65E-02
4.84E-06,9.45E-02
4.84E-06,9.85E-02
4.84E-06,9.65E-02
4.85E-06,9.45E-02
4.85E-06,9.65E-02
4.85E-06,9.55E-02
4.85E-06,9.30E-02
4.85E-06,9.40E-02
4.85E-06,9.60E-02
4.85E-06,9.65E-02
4.85E-06,9.45E-02
4.85E-06,9.45E-02
4.85E-06,9.80E-02
4.86E-06,9.70E-02
4.86E-06,9.95E-02
4.86E-06,9.90E-02
4.86E-06,9.65E-02
4.86E-06,9.70E-02
4.86E-06,9.80E-02
4.86E-06,9.65E-02
4.86E-06,9.45E-02
4.86E-06,9.70E-02
4.86E-06,9.85E-02
4.87E-06,9.85E-02
4.87E-06,1.00E-01
4.87E-06,9.70E-02
4.87E-06,9.65E-02
4.87E-06,9.70E-02
4.87E-06,9.85E-02
4.87E-06,9.70E-02
4.87E-06,1.00E-01
4.87E-06,9.70E-02
4.87E-06,9.45E-02
4.88E-06,9.65E-02
4.88E-06,9.95E-02
4.88E-06,9.70E-02
4.88E-06,9.65E-02
4.88E-06,9.50E-02
4.88E-06,9.65E-02
4.88E-06,9.85E-02
4.88E-06,9.65E-02
4.88E-06,9.70E-02
4.88E-06,9.80E-02
4.89E-06,9.85E-02
4.89E-06,9.65E-02
4.89E-06,9.50E-02
4.89E-06,9.60E-02
4.89E-06,9.95E-02
4.89E-06,9.85E-02
4.89E-06,9.65E-02
4.89E-06,9.55E-02
4.89E-06,9.65E-02
4.89E-06,9.80E-02
4.90E-06,9.70E-02
4.90E-06,9.85E-02
4.90E-06,9.65E-02
4.90E-06,9.80E-02
4.90E-06,9.50E-02
4.90E-06,9.60E-02
4.90E-06,9.60E-02
4.90E-06,9.80E-02
4.90E-06,9.90E-02
4.90E-06,1.01E-01
4.91E-06,9.75E-02
4.91E-06,9.65E-02
4.91E-06,9.65E-02
4.91E-06,9.80E-02
4.91E-06,9.75E-02
4.91E-06,9.70E-02
4.91E-06,9.50E-02
4.91E-06,9.60E-02
4.91E-06,9.70E-02
4.91E-06,9.80E-02
4.92E-06,9.65E-02
4.92E-06,9.80E-02
4.92E-06,9.65E-02
4.92E-06,9.80E-02
4.92E-06,9.70E-02
4.92E-06,9.80E-02
4.92E-06,9.80E-02
4.92E-06,9.65E-02
4.92E-06,9.15E-02
4.92E-06,9.40E-02
4.93E-06,9.60E-02
4.93E-06,9.65E-02
4.93E-06,9.50E-02
4.93E-06,9.25E-02
4.93E-06,9.50E-02
4.93E-06,9.25E-02
4.93E-06,9.65E-02
4.93E-06,9.40E-02
4.93E-06,9.15E-02
4.93E-06,9.10E-02
4.94E-06,8.94E-02
